Robot ID,Travel Distance,Travel Time,Success
robot0,391.9687201523326,78.7999999999998,1.0
robot1,405.03065155461303,81.39999999999965,1.0
robot2,393.2640979523395,78.99999999999979,1.0
robot3,397.3518147569017,79.89999999999974,1.0
robot4,396.25563480976257,79.69999999999975,1.0
robot5,400.2100745754231,80.4999999999997,1.0
Average,397.3468323002287,79.88333333333308,1.0
